Fiery Ginger,trad,Fiery Ginger,11,45,Fiery Ginger,1 pitch,http://www.mountainproject.com//v/fiery-ginger/107605174
Bombs Away,trad,Bombs Away,8,70,Bombs Away,1 pitch,http://www.mountainproject.com//v/bombs-away/107717687
Arrow Head,boulder,Arrow Head,3.5,30,Arrow Head,,http://www.mountainproject.com//v/arrow-head/106249536
Bubba,boulder,Bubba,0.5,12,Bubba,,http://www.mountainproject.com//v/bubba/106249545
Cutting Teeth,sport,Cutting Teeth,10,45,Cutting Teeth,1 pitch,http://www.mountainproject.com//v/cutting-teeth/106651430
Father and Son,trad,Father and Son,8,60,Father and Son,,http://www.mountainproject.com//v/father-and-son/106248462
Fuzzy Crack,trad,Fuzzy Crack,7,20,Fuzzy Crack,,http://www.mountainproject.com//v/fuzzy-crack/106249484
Live To Climb Another Day,trad,Live To Climb Another Day,9,50,Live To Climb Another Day,1 pitch,http://www.mountainproject.com//v/live-to-climb-another-day/106651418
ride the lighting,trad,ride the lighting,10,40,ride the lighting,1 pitch,http://www.mountainproject.com//v/ride-the-lighting/107484556
Storm Trooper,boulder,Storm Trooper,1,20,Storm Trooper,,http://www.mountainproject.com//v/storm-trooper/106651422
way of the hand,trad,way of the hand,11,45,way of the hand,1 pitch,http://www.mountainproject.com//v/way-of-the-hand/107484544
"""Stonyman""",sport,"""Stonyman""",12,80,"""Stonyman""",,http://www.mountainproject.com//v/stonyman/106248472
fat chick,boulder,fat chick,3.5,,fat chick,,http://www.mountainproject.com//v/fat-chick/108146254
The Good Life,sport,The Good Life,7,25,The Good Life,1 pitch,http://www.mountainproject.com//v/the-good-life/106833521
Ka-Dunk A-Dunk,sport,Ka-Dunk A-Dunk,10,25,Ka-Dunk A-Dunk,1 pitch,http://www.mountainproject.com//v/ka-dunk-a-dunk/106833499
Mud Puppy,sport,Mud Puppy,10,30,Mud Puppy,1 pitch,http://www.mountainproject.com//v/mud-puppy/106833505
Salute Your Shorts,sport,Salute Your Shorts,9,25,Salute Your Shorts,1 pitch,http://www.mountainproject.com//v/salute-your-shorts/106833513
Slim Jim,sport,Slim Jim,12,30,Slim Jim,1 pitch,http://www.mountainproject.com//v/slim-jim/106833398
