Fiery Ginger,trad,5.11-,45,11,1 pitch,http://www.mountainproject.com//v/fiery-ginger/107605174
Bombs Away,trad,5.8-,70,8,1 pitch,http://www.mountainproject.com//v/bombs-away/107717687
Arrow Head,boulder,V3-4,30,3.5,,http://www.mountainproject.com//v/arrow-head/106249536
Bubba,boulder,V0-1,12,0.5,,http://www.mountainproject.com//v/bubba/106249545
Cutting Teeth,sport,5.10a,45,10,1 pitch,http://www.mountainproject.com//v/cutting-teeth/106651430
Father and Son,trad,5.8,60,8,,http://www.mountainproject.com//v/father-and-son/106248462
Fuzzy Crack,trad,5.7,20,7,,http://www.mountainproject.com//v/fuzzy-crack/106249484
Live To Climb Another Day,trad,5.9-,50,9,1 pitch,http://www.mountainproject.com//v/live-to-climb-another-day/106651418
ride the lighting,trad,5.10c,40,10,1 pitch,http://www.mountainproject.com//v/ride-the-lighting/107484556
Storm Trooper,boulder,V1-,20,1,,http://www.mountainproject.com//v/storm-trooper/106651422
way of the hand,trad,5.11a,45,11,1 pitch,http://www.mountainproject.com//v/way-of-the-hand/107484544
"""Stonyman""",sport,5.12a,80,12,,http://www.mountainproject.com//v/stonyman/106248472
fat chick,boulder,V3-4,,3.5,,http://www.mountainproject.com//v/fat-chick/108146254
The Good Life,sport,5.7,25,7,1 pitch,http://www.mountainproject.com//v/the-good-life/106833521
Ka-Dunk A-Dunk,sport,5.10c,25,10,1 pitch,http://www.mountainproject.com//v/ka-dunk-a-dunk/106833499
Mud Puppy,sport,5.10b,30,10,1 pitch,http://www.mountainproject.com//v/mud-puppy/106833505
Salute Your Shorts,sport,5.9,25,9,1 pitch,http://www.mountainproject.com//v/salute-your-shorts/106833513
Slim Jim,sport,5.12a,30,12,1 pitch,http://www.mountainproject.com//v/slim-jim/106833398
Fantastic Four,sport,5.11c,30,11,1 pitch,http://www.mountainproject.com//v/fantastic-four/106833407
Mantle Problem,boulder,V2,12,2,,http://www.mountainproject.com//v/mantle-problem/106325615
Dirty Laundry,boulder,V5,15,5,,http://www.mountainproject.com//v/dirty-laundry/106322478
Unknown,boulder,V1,,1,,http://www.mountainproject.com//v/unknown/106327218
Vulcan/Unknown,boulder,V2-3,12,2.5,,http://www.mountainproject.com//v/vulcanunknown/106329925
Unknown,boulder,V1,12,1,,http://www.mountainproject.com//v/unknown/106322459
